,p1,p2,p3,p4,p5,p6,p7,trend,aic,mse
MSI.AX,0.0,1.0,0,0,0.0,0.0,12.0,ct,-33.03890445267828,0.006542408131189679
MSB.AX,1,0.0,0,1,1.0,0.0,12.0,c,-60.75529746087266,0.0026064305693243037
MOY.AX,1,0.0,1,1,0.0,0.0,12.0,ct,-451.14979597915413,0.0001686167848933412
MMJ.AX,0,0.0,1,0,1.0,0.0,12.0,c,-231.3988638088193,0.00025159897324525393
MLX.AX,0,1.0,0,0,0.0,1.0,12.0,ct,-270.12395720600585,0.0001862734195398064
MLT.AX,0,1.0,1,0,0.0,0.0,12.0,n,-269.78955820589437,0.00045942005365162686
MDI.AX,0,0.0,0,0,1.0,0.0,12.0,n,-671.1556012963273,9.313225711460316e-11
LEG.AX,1,0.0,1,1,0.0,0.0,12.0,n,-63.03813169546841,0.00023056507978618725
SFR.AX,0,0.0,0,1,0.0,1.0,12.0,t,222.0510136992368,0.07197960222893762
PNW.AX,0,0.0,0,0,1.0,1.0,12.0,ct,-235.67896971950248,0.0008367491850873597
NXT.AX,1,1.0,0,1,1.0,0.0,12.0,ct,16.438972278755397,0.0007676307645159143
NWS.AX,0,0.0,0,1,1.0,0.0,12.0,t,275.2629763659881,0.0009312460934758348
NST.AX,1,0.0,1,1,1.0,1.0,12.0,ct,48.19109430642027,0.0015414979758467948
NNW.AX,1,1.0,0,1,0.0,0.0,12.0,ct,-20.856657752127308,0.0004972115570335135
NMT.AX,0,1.0,0,0,0.0,0.0,12.0,c,-494.05468712716913,7.687116455323828e-06
NCL.AX,0,1.0,0,0,0.0,0.0,12.0,n,-939.9819060899008,8.673617379884034e-19
LKE.AX,0,0.0,0,0,1.0,0.0,12.0,n,-192.21888848927208,3.725290284584126e-10
ARE.AX,1,0.0,1,0,0.0,1.0,12.0,t,-729.5788087825086,4.043632514855525e-05
ADY.AX,1,1.0,0,1,0.0,0.0,12.0,t,-70.54662646164073,0.0006160406094822088
RNY.AX,0,1.0,1,0,0.0,0.0,12.0,t,-182.54090580197723,0.00031853547288893976
RIM.AX,0,1.0,0,1,1.0,1.0,12.0,ct,-668.644923974028,9.411746269083824e-07
PWN.AX,0,0.0,0,0,0.0,1.0,12.0,ct,-868.7329636975153,3.586070626989367e-07
NWSLV.AX,1,1.0,0,1,1.0,1.0,12.0,n,123.1586434631341,0.006549833327945009
NWF.AX,0,1.0,0,0,0.0,0.0,12.0,n,-565.2020151319426,1.4901161138336505e-09
NVL.AX,1,0.0,0,0,1.0,1.0,12.0,ct,-129.67181114766836,0.0017466111279054175
NUF.AX,0,1.0,0,1,1.0,0.0,12.0,n,30.51977976533871,0.006818903586945702
NTU.AX,0,0.0,1,0,0.0,0.0,12.0,c,-540.6484999245533,0.0017389445376120027
NSR.AX,0,0.0,0,0,0.0,1.0,12.0,c,-109.24877119046629,0.03039695081703475
NSE.AX,1,0.0,1,0,0.0,0.0,12.0,c,-211.43967525262497,8.962654560620096e-05
NHC.AX,0,1.0,1,1,0.0,1.0,12.0,ct,-49.81842435895605,0.0005001786361829018
NGE.AX,1,0.0,0,0,1.0,1.0,12.0,ct,-127.09047604381823,0.006258756925525466
NEU.AX,1,1.0,1,1,1.0,0.0,12.0,n,-16.880180477806846,0.00019829407623084272
ORE.AX,1,0.0,1,1,0.0,1.0,12.0,t,55.6126316605943,0.0033591700965160953
ONT.AX,0,1.0,0,1,1.0,0.0,12.0,ct,-74.48218399658306,0.010719134898856451
OCC.AX,0,0.0,0,0,0.0,0.0,12.0,t,-33.808128542247545,0.008611148131115909
BOQ.AX,1,0.0,1,0,0.0,1.0,12.0,c,8.91652155652839,0.001179050152435579
URF.AX,0,0.0,0,0,0.0,0.0,12.0,n,2.0,1.0499999523162842
OVL.AX,1,1.0,1,0,0.0,0.0,12.0,n,-1044.15251659232,2.3713531981453534e-07
OVH.AX,0,0.0,1,1,0.0,0.0,12.0,t,-232.78735553916897,0.0005911428060976218
OTW.AX,0,1.0,1,0,0.0,0.0,12.0,c,-78.79059460020248,0.001054745560274739
OOO.AX,1,1.0,1,0,0.0,1.0,12.0,c,130.59055752453105,0.0019761685573271848
OML.AX,0,0.0,0,0,1.0,0.0,12.0,t,141.88549957583245,0.00033642634807007365
OIL.AX,0,1.0,0,1,0.0,0.0,12.0,n,-50.657012634472416,0.006780989574103735
OGC.AX,1,0.0,1,0,0.0,0.0,12.0,c,-90.0698782302261,0.008846164177030769
OEX.AX,1,0.0,0,0,0.0,0.0,12.0,ct,-1133.9979775653046,2.8711304176668936e-06
OEC.AX,1,0.0,0,1,1.0,0.0,12.0,n,-258.1449321107553,6.157881288543221e-05
OAR.AX,0,0.0,0,1,0.0,0.0,12.0,c,-78.2383245425908,0.0007122016033791762
NCC.AX,0,1.0,1,1,0.0,1.0,12.0,ct,-372.6819241856173,1.4347639762268827e-05
NAC.AX,0,0.0,0,1,1.0,1.0,12.0,ct,-137.56787974739427,0.01719333020276459
MRM.AX,1,1.0,0,0,0.0,0.0,12.0,ct,-573.1877077438653,6.40968178494683e-06
PCL.AX,0,1.0,1,0,0.0,0.0,12.0,n,-183.0003754355875,1.8375255971719294e-05
LCY.AX,0,0.0,0,0,1.0,1.0,12.0,t,-762.0812844840428,4.9732759322988415e-06
HZN.AX,1,1.0,1,1,1.0,1.0,12.0,n,-464.1748895573663,2.672906117724693e-05
ERA.AX,1,1.0,0,1,1.0,1.0,12.0,ct,-286.79250300250425,5.53892767924391e-05
AOW.AX,0,1.0,1,0,0.0,0.0,12.0,n,-866.2531037750251,8.096518722827684e-09
ABL.AX,1,1.0,1,0,0.0,0.0,12.0,n,-1013.6312931376486,1.925558933918089e-06
1AL.AX,0,1.0,0,0,0.0,1.0,12.0,n,-414.0078690890075,1.5231592653819346e-09
UNV.AX,0,0.0,1,0,1.0,0.0,12.0,n,-375.19927580128507,0.011238035167188964
QVE.AX,0,0.0,0,0,1.0,0.0,12.0,ct,-211.60098876987635,0.0002851672917936199
QMS.AX,0,0.0,1,1,0.0,0.0,12.0,n,-255.55053666800012,0.00015702128444416985
QAN.AX,0,0.0,0,1,0.0,1.0,12.0,t,117.72879482342242,0.0007824727685710188
AQX.AX,1,0.0,1,1,0.0,0.0,12.0,c,-66.62598380248299,0.0005440306751311444
QUAL.AX,0,0.0,1,0,1.0,1.0,12.0,t,167.45249374704858,0.0012269899519594676
QTG.AX,0,0.0,0,1,1.0,1.0,12.0,ct,-336.5609267061125,8.432073040484742e-05
QRE.AX,1,1.0,0,1,1.0,0.0,12.0,c,-80.68395868906192,0.0014841260773001965
QHL.AX,1,0.0,1,1,0.0,0.0,12.0,ct,-50.6558536513665,0.0003136053385554412
RXL.AX,0,0.0,0,1,0.0,0.0,12.0,c,-83.78384930849424,0.0007420699256598294
RMD.AX,0,0.0,1,0,0.0,0.0,12.0,ct,185.67638567915168,0.10034996069191493
RHP.AX,0,0.0,0,0,0.0,0.0,12.0,n,2.0,2.1600000858306885
RFN.AX,0,1.0,1,1,0.0,0.0,12.0,n,-751.3613439512499,7.908525754308192e-06
RED.AX,1,1.0,0,0,1.0,0.0,12.0,ct,-577.2764685061833,0.000573331415149661
VXR.AX,1,0.0,0,0,0.0,1.0,12.0,ct,-415.34362285600105,0.0003753906168710297
GRB.AX,1,1.0,0,1,0.0,0.0,12.0,ct,-652.3916220954975,1.019080361513991e-06
CXX.AX,1,1.0,0,0,0.0,1.0,12.0,n,-567.4017493720795,7.3280227189387315e-06
CWN.AX,1,1.0,1,1,1.0,1.0,12.0,t,38.193714618851,0.0006517597177122525
CII.AX,1,1.0,0,1,1.0,1.0,12.0,ct,-185.9399233100356,0.0001460987524528612
CAZ.AX,0,0.0,0,0,1.0,1.0,12.0,ct,-375.83037355593024,7.543732352021519e-05
CAY.AX,0,0.0,0,0,1.0,0.0,12.0,n,-244.09353986578614,0.0022499978542327988
ADN.AX,0,0.0,0,0,1.0,0.0,12.0,t,-824.0274555830428,3.942134837827544e-05
XST.AX,0,0.0,0,1,0.0,0.0,12.0,c,-85.09874747307137,0.00013099387110937228
WAF.AX,1,1.0,0,1,1.0,1.0,12.0,t,-344.9568258477665,6.783819460082219e-05
VRL.AX,1,0.0,0,1,1.0,1.0,12.0,n,-61.56909865449704,0.0007102863118952918
ARV.AX,1,0.0,0,0,1.0,1.0,12.0,t,-328.5572009384229,3.983009678923399e-06
TYX.AX,0,1.0,0,0,0.0,0.0,12.0,c,-173.42626620052908,1.7975626497629728e-05
TRL.AX,1,0.0,0,0,1.0,1.0,12.0,ct,-654.1004432712156,3.2316057462194836e-06
TNR.AX,0,1.0,0,0,0.0,0.0,12.0,c,-131.80885601249605,0.00033655723899128783
TLG.AX,1,1.0,1,0,1.0,1.0,12.0,n,-225.6749905268613,0.0003150242540199688
TAS.AX,1,0.0,1,0,0.0,0.0,12.0,n,-108.61744459089694,0.000771740656444532
SYR.AX,1,0.0,0,1,0.0,0.0,12.0,n,-49.827379749533215,9.313771782304414e-05
UBN.AX,0,0.0,0,0,0.0,0.0,12.0,n,2.0,0.035999998450279236
PVE.AX,0,1.0,0,0,0.0,0.0,12.0,c,-850.9644656645793,5.781400033447181e-06
VGE.AX,0,0.0,0,0,1.0,1.0,12.0,t,371.73209808007584,0.10817144772684628
MVR.AX,0,0.0,1,0,1.0,1.0,12.0,n,210.85594658721038,0.0027290170524665322
VBS.AX,0,1.0,0,0,0.0,0.0,12.0,n,-285.7871876352399,5.551115123125783e-17
WMC.AX,1,0.0,1,1,1.0,0.0,12.0,c,-476.25575466385743,4.071109051763389e-05
WHF.AX,1,1.0,0,1,1.0,1.0,12.0,ct,-180.1489468428977,0.0005986537645359392
PWNCA.AX,0,1.0,0,0,0.0,0.0,12.0,ct,-55.46679989854681,6.666666983316154e-05
WMK.AX,0,1.0,0,1,0.0,0.0,12.0,ct,-34.828223368798646,0.005220137745785392
WEL.AX,1,1.0,0,1,0.0,0.0,12.0,ct,-48.62274561770668,0.006674590187734451
HHY.AX,1,0.0,1,0,0.0,0.0,12.0,t,-113.7246395651202,0.00036322742974499657
ZER.AX,0,0.0,1,1,0.0,0.0,12.0,n,-167.7841297861709,0.00022087597285183613
AAA.AX,0,1.0,0,1,0.0,0.0,12.0,t,-453.6970415446546,0.0001615868291935385
BAF.AX,1,0.0,1,0,1.0,1.0,12.0,c,-257.9831345482076,0.00023740580237208153
AAP.AX,1,1.0,0,0,0.0,0.0,12.0,n,-949.3583447418132,1.7347234759768067e-18
AAU.AX,0,1.0,0,0,1.0,0.0,12.0,n,-803.1782285477342,1.8626451596392981e-10
AAJ.AX,1,0.0,0,0,0.0,0.0,12.0,t,-159.12131046819204,0.00012761779681747323
AEG.AX,0,1.0,0,1,1.0,1.0,12.0,n,-334.5315782819399,2.8104136030160376e-05
EAX.AX,1,0.0,0,1,0.0,0.0,12.0,c,2.8138513188275454,0.006239382323059871
AIV.AX,1,0.0,0,0,0.0,0.0,12.0,t,-190.25848626562907,2.7755575615628914e-17
ACL.AX,0,1.0,1,0,0.0,0.0,12.0,n,-1002.1143455953604,3.7688647903932886e-08
ACS.AX,1,0.0,0,1,0.0,0.0,12.0,n,,8.673617379884034e-19
ACQ.AX,0,0.0,0,1,0.0,0.0,12.0,t,-174.80133718971803,0.006256566134276831
AKG.AX,0,0.0,0,0,0.0,0.0,12.0,c,-54.09623043794612,0.0031848361066755594
AHZ.AX,1,1.0,0,0,0.0,0.0,12.0,n,-142.234538254893,6.938893903907227e-18
ADO.AX,1,0.0,1,1,0.0,0.0,12.0,ct,-727.5396680529834,2.2563288345763682e-05
ADJ.AX,0,1.0,1,1,1.0,1.0,12.0,ct,-561.7948933096018,0.0008121880381155681
ADV.AX,1,0.0,1,0,0.0,0.0,12.0,n,-167.92510101327431,0.00015349476792604486
ADD.AX,1,0.0,1,1,0.0,1.0,12.0,ct,-107.10325551677678,0.00032656049132283397
ASW.AX,1,1.0,0,1,0.0,0.0,12.0,n,-27.3871492212321,0.0039067615972755215
AER.AX,0,0.0,1,0,0.0,0.0,12.0,t,-106.75820212314758,0.02329075740242641
AFA.AX,1,0.0,1,0,0.0,0.0,12.0,c,-92.94483556687466,0.0010591542256988508
DAF.AX,1,0.0,1,0,0.0,0.0,12.0,t,-178.67947449742016,0.00019419389339472823
AFI.AX,1,0.0,1,1,0.0,1.0,12.0,t,-215.5024093581631,7.199095724708117e-05
AGJ.AX,0,1.0,0,1,1.0,1.0,12.0,n,-581.2709763075912,1.611905053877649e-14
AGD.AX,0,1.0,1,0,0.0,0.0,12.0,n,-606.1579112275423,9.271731545204553e-06
AHL.AX,0,0.0,1,0,1.0,1.0,12.0,c,-574.9935584866053,5.8160878555754004e-05
AHK.AX,1,0.0,0,0,0.0,0.0,12.0,ct,-115.60679021914316,0.0017249944077382766
AHN.AX,0,0.0,1,0,0.0,0.0,12.0,ct,-129.11538783455958,0.00033741020253068787
AIQ.AX,0,1.0,1,0,0.0,0.0,12.0,n,-111.92559049033493,1.7729774870953174e-05
AIB.AX,0,1.0,1,0,1.0,0.0,12.0,ct,-25.996964685917906,0.0022352621619499287
AIY.AX,1,0.0,1,0,0.0,0.0,12.0,c,-96.79512869803655,0.009468397187352649
AXP.AX,1,1.0,1,0,0.0,0.0,12.0,n,-360.7736200948201,1.381246991782881e-10
AIR.AX,0,0.0,0,0,0.0,0.0,12.0,t,-137.03867761248463,0.06222419557144247
AJJ.AX,0,1.0,0,0,0.0,0.0,12.0,ct,-0.1826667127664212,0.007296051475700376
AYR.AX,0,1.0,0,0,1.0,0.0,12.0,n,-856.1922317040381,5.716802899125013e-13
ALI.AX,0,0.0,0,1,0.0,0.0,12.0,t,-121.08723621841764,0.00017618198964708398
AUQ.AX,0,1.0,1,1,1.0,0.0,12.0,ct,-643.6384713222302,1.7937176280038297e-05
GPS.AX,1,0.0,1,0,0.0,0.0,12.0,c,-372.9045075871029,6.938893903907227e-18
ALY.AX,0,0.0,1,0,0.0,1.0,12.0,c,-762.3129359297377,0.0001719763993463571
ALF.AX,0,0.0,1,1,1.0,1.0,12.0,ct,-172.432496133979,9.039638449293008e-05
ALT.AX,0,0.0,1,0,0.0,1.0,12.0,ct,-916.6203162792112,7.549458559946015e-08
AQI.AX,1,0.0,1,1,0.0,0.0,12.0,c,-67.22933714162119,0.0020107045230794746
AMT.AX,0,1.0,0,0,1.0,0.0,12.0,n,-420.96547688039635,1.3877787807814454e-17
AMB.AX,0,0.0,1,1,1.0,1.0,12.0,n,-396.5760968794757,0.0005369750789804005
PAK.AX,1,0.0,1,1,0.0,1.0,12.0,t,-608.1344917116155,2.712430372926039e-05
AMH.AX,0,0.0,0,1,1.0,0.0,12.0,ct,-239.65419185353835,0.0003868712509000893
AMO.AX,1,1.0,0,1,0.0,0.0,12.0,n,-138.05074643778914,9.17352261931015e-08
AYK.AX,0,0.0,1,0,1.0,1.0,12.0,ct,350.96782301566793,0.037306207620371616
MGU.AX,1,0.0,0,1,1.0,0.0,12.0,n,-507.0331819909295,2.3234037711261646e-06
ATM.AX,0,0.0,1,1,0.0,0.0,12.0,c,-51.76048379464078,0.0008678427368871142
LHM.AX,1,0.0,1,0,1.0,0.0,12.0,c,-54.54787564752638,0.00030333986807873446
ATP.AX,0,1.0,1,1,0.0,1.0,12.0,t,-829.6984700816728,1.2061331642996762e-05
AON.AX,0,1.0,1,1,0.0,0.0,12.0,c,-116.58564655534487,0.0012890956155685446
APD.AX,1,0.0,0,0,0.0,0.0,12.0,c,-118.5243453825237,0.00129109198536838
AQS.AX,1,1.0,1,0,1.0,1.0,12.0,ct,-513.8757366189127,1.262962504243112e-05
AQD.AX,1,0.0,1,0,0.0,0.0,12.0,ct,-154.45413380192943,0.0008492963272260138
ARG.AX,0,0.0,1,0,1.0,1.0,12.0,t,-25.60782177934928,0.0011574803672855793
AXT.AX,0,1.0,1,0,0.0,0.0,12.0,c,-142.86970897986814,0.0003512752846910332
ARA.AX,1,0.0,1,1,0.0,0.0,12.0,n,-40.61522862472052,0.0010784487605732325
ARO.AX,0,1.0,0,0,0.0,0.0,12.0,n,-112.15326170923224,0.0004517539343429958
ARM.AX,1,0.0,0,0,0.0,1.0,12.0,n,-771.0947968019472,1.0762790751283127e-05
ARC.AX,0,1.0,1,0,0.0,0.0,12.0,n,-24.411568844584146,0.0001349752933904047
PAI.AX,1,0.0,0,1,0.0,0.0,12.0,ct,-354.9030878896158,1.538391503386194e-05
EAI.AX,0,0.0,1,1,1.0,1.0,12.0,t,-286.4531957157192,0.00013947635298749983
ASH.AX,1,1.0,0,0,0.0,0.0,12.0,c,-80.81362115225282,0.0066962096064636534
ATR.AX,1,1.0,0,0,0.0,0.0,12.0,n,-630.0888585322492,1.1379786002407857e-15
ASP.AX,1,0.0,0,1,0.0,0.0,12.0,n,-80.28664905996074,0.0017395129459011776
IDZ.AX,1,0.0,1,1,0.0,0.0,12.0,n,-41.38326876246249,0.004484351809191537
COO.AX,0,1.0,0,1,0.0,0.0,12.0,n,-747.95425012965,5.71799172968679e-07
CLX.AX,1,0.0,0,0,0.0,1.0,12.0,ct,-359.9329931732608,4.797513491761053e-05
BYI.AX,1,0.0,1,1,0.0,1.0,12.0,c,-314.22964414065257,7.478248456260772e-05
BTI.AX,0,0.0,0,0,0.0,1.0,12.0,t,42.90509094697769,0.004346422794945236
BTC.AX,1,0.0,0,0,0.0,0.0,12.0,t,-124.16450013290785,0.0022015108964824523
TSN.AX,0,0.0,1,0,0.0,0.0,12.0,c,-198.639457715945,0.0003221280055780128
TPD.AX,0,1.0,0,1,0.0,0.0,12.0,n,-990.7168048855972,3.216145665757564e-12
TGG.AX,1,0.0,1,1,1.0,0.0,12.0,n,-333.33201719489733,0.00025341903246012265
SNC.AX,1,1.0,0,0,1.0,1.0,12.0,ct,-275.0528680576486,0.00010230792619647656
SMI.AX,0,1.0,1,0,0.0,0.0,12.0,n,-975.0844139745552,5.414546823172706e-06
SRK.AX,0,1.0,0,1,0.0,0.0,12.0,ct,-605.8244060644247,9.42072531042587e-06
RXM.AX,1,0.0,1,0,1.0,0.0,12.0,c,-28.8115840489612,0.0007585753898023124
RVR.AX,0,0.0,1,1,0.0,1.0,12.0,n,-334.8205161488975,0.00012237699151015913
APW.AX,1,0.0,1,0,0.0,1.0,12.0,n,-375.61882716530005,7.60684773790654e-05
VTG.AX,0,0.0,1,1,1.0,0.0,12.0,ct,-56.83777768638865,0.0003170736989204226
VOC.AX,1,1.0,1,1,0.0,1.0,12.0,ct,-106.21927596798278,0.0006013051138253901
VMT.AX,1,0.0,1,0,1.0,1.0,12.0,c,-506.448320453857,0.000112737064371371
VMC.AX,0,0.0,1,1,0.0,0.0,12.0,ct,-39.32528220487743,0.0063742340161157965
AVL.AX,1,0.0,1,0,0.0,0.0,12.0,t,-785.1185115628494,4.068596344920794e-06
VRX.AX,1,1.0,0,1,0.0,0.0,12.0,ct,-514.8991833846602,2.5125721840081605e-05
VEC.AX,1,0.0,0,0,0.0,0.0,12.0,t,-150.56472041357932,0.0008238009738709706
CWY.AX,1,0.0,1,1,0.0,0.0,12.0,c,-255.30187578299441,0.00046927913585559367
WLD.AX,0,1.0,0,0,0.0,0.0,12.0,n,-652.2943805755044,5.00001013278989e-05
TPW.AX,0,0.0,0,0,0.0,1.0,12.0,ct,-126.1120055983238,0.009403247307755658
SWM.AX,1,1.0,1,0,1.0,1.0,12.0,ct,-226.36990988467147,0.0013559609753431845
LMW.AX,0,0.0,0,0,0.0,0.0,12.0,c,-137.2714481458897,0.06875000149011601
EWC.AX,1,0.0,1,0,0.0,1.0,12.0,n,-424.1859264792965,5.424537527624895e-05
MWR.AX,0,1.0,0,1,0.0,0.0,12.0,ct,-9.21383350760548,2.0911960714187217e-05
NTC.AX,1,0.0,1,0,0.0,1.0,12.0,ct,-177.78857860295616,1.877672798222818e-05
WEB.AX,0,1.0,0,0,1.0,0.0,12.0,n,198.076536062004,0.0037057876586921172
WKT.AX,1,1.0,1,0,1.0,0.0,12.0,ct,-397.48013102981076,5.0003460222047824e-05
XTE.AX,0,0.0,0,1,0.0,1.0,12.0,n,-195.20345469495368,0.00031211209382192573
XAM.AX,1,0.0,0,1,0.0,0.0,12.0,ct,-429.2762517149955,3.8067632629340538e-06
DCC.AX,1,1.0,1,0,1.0,0.0,12.0,t,-301.46144718185144,3.2027118269245536e-07
XF1.AX,1,1.0,0,0,1.0,0.0,12.0,ct,-10.364593460133039,0.03932005316665752
XPD.AX,1,0.0,1,0,1.0,0.0,12.0,ct,-59.3777696265745,0.0002523526481007803
XIP.AX,1,0.0,1,0,0.0,1.0,12.0,ct,-218.7539265784878,9.295486836347068e-05
DYL.AX,1,1.0,1,0,0.0,1.0,12.0,n,-380.842253138364,0.0001024664751521076
YBR.AX,1,1.0,1,0,0.0,0.0,12.0,n,-115.00119663808916,0.0005845231054640992
ZNC.AX,0,1.0,0,1,1.0,1.0,12.0,c,-420.6625810289637,7.182022449182812e-06
AIZ.AX,1,0.0,1,1,0.0,1.0,12.0,t,-166.8392735596363,0.00038248794571948963
CZL.AX,0,1.0,0,1,0.0,0.0,12.0,ct,-61.85585148300546,0.00022729700391316485
IBG.AX,1,0.0,1,0,0.0,0.0,12.0,n,-154.74006867838753,0.00031622204030219947
ZIP.AX,1,0.0,1,0,0.0,0.0,12.0,c,-140.91023790257043,0.00020248942636199305
ZIM.AX,0,1.0,0,1,1.0,1.0,12.0,ct,45.49069166319664,0.0005241015314672026
AAC.AX,1,0.0,0,0,1.0,1.0,12.0,n,-229.32904327157127,2.7570898518014534e-05
AAR.AX,0,0.0,0,0,0.0,0.0,12.0,ct,-112.41125748007902,0.0025524734130994496
ABX.AX,1,0.0,0,1,0.0,0.0,12.0,c,-62.34363188056429,0.0006498098159401581
AB1.AX,1,1.0,1,0,1.0,1.0,12.0,t,-386.10989677130254,0.0005284265484065132
ABP.AX,1,0.0,0,1,1.0,1.0,12.0,ct,-126.15202551183944,2.248749272304451e-05
ABA.AX,1,1.0,0,1,1.0,0.0,12.0,ct,-132.86139942559592,0.004139743350269676
ACR.AX,0,0.0,0,1,0.0,0.0,12.0,t,-28.70367742086461,0.0060743278939199286
ACW.AX,0,0.0,1,0,0.0,0.0,12.0,n,-407.3277819848323,0.0025903397511794005
ACB.AX,0,1.0,1,1,0.0,0.0,12.0,n,-53.00141230292246,0.00022561009017540426
ADH.AX,0,0.0,1,0,0.0,0.0,12.0,c,-28.336897545090398,0.283052177984058
LNK.AX,0,1.0,0,1,0.0,0.0,12.0,n,-24.24867161692773,5.72137687271379e-06
ADX.AX,1,0.0,1,0,0.0,0.0,12.0,ct,-190.53797383685,0.0002903046994876573
ADA.AX,0,1.0,0,1,0.0,1.0,12.0,c,-139.48934690895175,3.0813105599714063e-05
AQR.AX,1,1.0,0,0,0.0,0.0,12.0,ct,-19.400975896862207,0.0005165028754432477
AIS.AX,1,0.0,0,0,1.0,0.0,12.0,ct,-30.60243314861991,0.0035429895282296257
AEI.AX,0,0.0,1,1,1.0,0.0,12.0,n,-292.7310834403307,0.000236069541627415
AFR.AX,1,0.0,1,1,0.0,0.0,12.0,t,-62.200679520565174,0.0017292748018784075
AFG.AX,0,1.0,1,1,0.0,0.0,12.0,n,-219.9268379454996,3.984597808037727e-05
AGL.AX,1,1.0,1,1,1.0,1.0,12.0,ct,112.27493305735304,0.00027891458532280916
AMN.AX,0,1.0,0,0,0.0,0.0,12.0,c,-37.24647557668638,0.0019088382474098358
DFM.AX,0,0.0,0,1,0.0,1.0,12.0,t,-71.23093622858019,0.0010571182848398974
AGR.AX,1,0.0,0,0,1.0,1.0,12.0,ct,-306.9252627119552,0.00011550823196074256
AGY.AX,1,1.0,0,0,1.0,0.0,12.0,t,-306.8350998960788,1.9568562135960366e-05
AGG.AX,0,1.0,0,0,1.0,0.0,12.0,c,-25.234500106890806,0.00011165541248336909
AHG.AX,1,0.0,0,0,0.0,0.0,12.0,ct,-147.5558139267686,0.003013533859264061
AHY.AX,1,0.0,0,1,0.0,1.0,12.0,c,-205.33765451924592,9.555627376622856e-05
AHF.AX,0,0.0,0,0,0.0,0.0,12.0,ct,-87.50202222027869,0.002854306898313533
AJX.AX,1,1.0,1,0,1.0,1.0,12.0,n,-364.7864627512165,2.8989114832955742e-05
AJM.AX,0,0.0,0,0,1.0,1.0,12.0,n,-173.44017682500714,0.00012749721128332836
AKP.AX,0,0.0,1,0,1.0,1.0,12.0,c,313.5144983739204,0.020391843153774403
AKM.AX,0,0.0,1,1,1.0,1.0,12.0,n,-562.3772368288567,5.312399239235793e-06
AWC.AX,0,1.0,0,1,1.0,0.0,12.0,n,-153.78993526439098,0.0003892116673385181
CAF.AX,1,0.0,0,1,0.0,0.0,12.0,ct,-23.84432745077926,0.0015617309700105095
AQG.AX,0,1.0,0,0,0.0,0.0,12.0,c,-149.1389409237952,0.0005479688026350793
ALL.AX,0,0.0,0,1,0.0,0.0,12.0,c,404.0929864515381,0.039794324810326735
ALK.AX,1,0.0,0,0,1.0,0.0,12.0,t,-407.4042222528106,0.0006147918259318264
ALC.AX,1,1.0,0,0,1.0,0.0,12.0,ct,-644.8953656340123,0.0005259906537687653
AQZ.AX,0,0.0,0,1,1.0,1.0,12.0,n,10.580044821184302,0.01610816125220893
APT.AX,1,0.0,1,1,0.0,0.0,12.0,ct,230.67423655124145,0.0007728274631730869
BLA.AX,1,0.0,1,0,0.0,0.0,12.0,n,113.62708801021816,0.0003688066043794347
ARS.AX,0,1.0,0,1,0.0,1.0,12.0,c,-668.9326058801042,6.595896645929245e-06
LEP.AX,1,1.0,1,0,0.0,1.0,12.0,t,-208.8255864760736,0.00012172299991419776
ALQ.AX,0,0.0,0,1,1.0,1.0,12.0,c,149.85158453421582,0.0011555636713360686
ATC.AX,0,1.0,0,0,1.0,1.0,12.0,t,-417.91719116131327,6.791653182627866e-05
AMI.AX,0,0.0,1,0,0.0,0.0,12.0,c,-126.45615153591412,0.0012178759610604886
CCL.AX,0,1.0,0,1,1.0,1.0,12.0,ct,1.9405569763703667,0.00022100571993455278
AMA.AX,1,0.0,0,0,0.0,1.0,12.0,ct,-316.67694035357573,0.0008138069374332701
AZY.AX,1,0.0,1,1,0.0,1.0,12.0,t,-730.7722017615595,2.916563955463955e-05
ANP.AX,0,1.0,1,0,1.0,0.0,12.0,c,-545.8208030008786,1.115305184332116e-06
ANW.AX,0,1.0,0,1,0.0,1.0,12.0,t,-751.5744751718338,5.998316314290847e-07
ASN.AX,0,1.0,0,1,0.0,1.0,12.0,c,-411.85574864205,2.2996243640507896e-06
ANO.AX,0,0.0,1,1,0.0,0.0,12.0,n,87.30204183222759,0.034790096995199526
ANR.AX,1,1.0,0,1,1.0,0.0,12.0,n,-148.7449789021846,0.00016359528507031706
GGG.AX,0,0.0,1,0,0.0,0.0,12.0,c,-598.6377563266211,0.002331602430047944
AOP.AX,0,0.0,0,1,0.0,1.0,12.0,t,-258.31269094939444,0.0004892040406900279
AOG.AX,0,0.0,1,1,0.0,0.0,12.0,t,-58.88280052595329,0.002382223252793469
AOA.AX,0,1.0,0,0,0.0,0.0,12.0,n,-179.39162886089954,0.00035064631985754684
APX.AX,0,0.0,1,1,1.0,1.0,12.0,t,263.91353927822416,0.023918611934107048
API.AX,0,0.0,1,0,1.0,0.0,12.0,c,-98.78685244123548,0.001104265500045276
APE.AX,1,1.0,1,0,0.0,0.0,12.0,c,-47.13646947581213,3.547530539194099e-05
APG.AX,0,1.0,0,1,0.0,0.0,12.0,n,-1022.8022828964956,2.6237692574149207e-17
HUO.AX,0,0.0,0,1,0.0,1.0,12.0,c,-72.55074078543441,0.07313440403643856
AXE.AX,0,0.0,1,1,1.0,0.0,12.0,c,-372.5690155147905,6.603795228816989e-05
ARU.AX,1,0.0,1,1,1.0,0.0,12.0,ct,-483.0320123972081,1.2187328587168199e-05
